costF,latencyF,dist,time
1602,1857.05629333333,1226.28117458935,2.154
1818,1316.1171,1122.19519479817,2.154
1291,2771.8366,1528.86879236738,2.154
1923,1927.35089333333,1361.30548243522,2.154
1936,1829.56733333333,1331.8607873198,2.154
1984,1204.65983333333,1160.54527206468,2.154
2345,584.08296,1208.32300153584,2.154
570,4885.107,2459.12435642491,2.154
510,5587.367,2805.29722100391,2.154
839,4210.4278,2146.60332030704,2.154
2162,1011.35056,1193.42720297598,2.154
621,4923.4686,2481.23880628135,2.154
1083,3267.26696,1721.04055645906,2.154
1095,3028.69826666667,1610.28244343265,2.154
1479,2572.2166,1483.55478811161,2.154
1373,2822.9349,1569.56128023391,2.154
2212,734.17036,1165.32721987244,2.154
706,4148.6326,2104.13809253235,2.154
2134,1005.627,1179.53822141644,2.154
1924,1629.192,1260.55965476292,2.154
1841,1796.3772,1286.10381041732,2.154
1687,2338.8646,1441.89602755653,2.154
1795,2000.11346666667,1343.73350032115,2.154
1156,3805.2788,1988.4970923872,2.154
1701,2744.86316,1614.5955195594,2.154
