costF,latencyF,dist,time
1435,2431.52586,1411.69605509195,2.18000000000006
1560,1952.51676,1249.59210325619,2.18000000000006
1362,2986.41206666667,1641.16582281714,2.18000000000006
1854,1543.68173333333,1206.26171432934,2.18000000000006
1137,3321.9974,1755.59361225817,2.18000000000006
1445,2937.21126666667,1636.70667996999,2.18000000000006
1462,2759.55266,1561.45564164605,2.18000000000006
1835,2016.30213333333,1363.14886319182,2.18000000000006
1412,3100.6598,1703.51366264965,2.18000000000006
1498,2922.70726666667,1642.11919228067,2.18000000000006
1635,2388.2532,1447.15050593487,2.18000000000006
1054,3622.437,1886.33015528625,2.18000000000006
1646,2059.8296,1318.35256864734,2.18000000000006
1501,2414.82426666667,1421.65196504649,2.18000000000006
1632,2174.52053333333,1359.4082857891,2.18000000000006
1593,2878.15676,1644.79750540406,2.18000000000006
1278,3153.68953333333,1701.39954689193,2.18000000000006
1489,2739.07936,1558.81980520344,2.18000000000006
1738,2072.98893333333,1352.58337245089,2.18000000000006
1015,4095.9662,2109.92678258882,2.18000000000006
1482,3023.9214,1683.77734820982,2.18000000000006
1248,3316.98753333333,1771.99818681402,2.18000000000006
730,4540.7726,2299.53885621176,2.18000000000006
1629,2332.882,1422.67173180639,2.18000000000006
522,4718.3198,2373.55354558687,2.18000000000006
2353,567.64354,1210.25081992368,2.18000000000006
2036,1279.77216,1202.40517105415,2.18000000000006
2036,1259.14796,1196.94920372297,2.18000000000006
1846,2102.24953333333,1398.85391485318,2.18000000000006
2034,1368.85229333333,1225.85812810495,2.18000000000006
2174,1155.9602,1231.109254289,2.18000000000006
848,4159.3326,2122.44856695179,2.18000000000006
