costF,latencyF,dist,time
1889,1201.36696666667,1119.33055758764,2.08699999999999
1730,1808.56028,1251.37826878943,2.08699999999999
1912,1347.84546666667,1169.66142558583,2.08699999999999
1912,1221.89746666667,1134.54588041278,2.08699999999999
1907,1090.3044,1098.34109964293,2.08699999999999
1984,1790.35809333333,1336.19217389979,2.08699999999999
1793,2037.1086,1356.89539465962,2.08699999999999
2147,890.41156,1162.15766423726,2.08699999999999
1735,2381.8314,1473.37587007067,2.08699999999999
2365,419.25224,1200.93686769382,2.08699999999999
725,4628.8918,2342.66217667567,2.08699999999999
2230,1031.31906,1228.46642236563,2.08699999999999
2096,1020.262,1165.56322744028,2.08699999999999
2452,290.98589,1234.60284992575,2.08699999999999
1702,2792.99596,1635.36161387752,2.08699999999999
1924,2098.11916,1423.36573036932,2.08699999999999
1996,1648.3956,1294.336128494,2.08699999999999
947,4116.84166666667,2112.17863285772,2.08699999999999
2272,571.26813,1171.35938937989,2.08699999999999
2190,649.80381,1142.18485713681,2.08699999999999
1748,2129.37453333333,1377.47412890484,2.08699999999999
1070,3477.06753333333,1818.99001037394,2.08699999999999
1836,1998.68556,1356.98562701973,2.08699999999999
1615,2942.0086,1678.06731111076,2.08699999999999
1945,1696.0091,1290.29762722432,2.08699999999999
619,5049.071,2543.43660049946,2.08699999999999
2338,479.39484,1193.32135368251,2.08699999999999
1838,2003.43133333333,1359.40990023077,2.08699999999999
1512,3028.5754,1692.51388129353,2.08699999999999
2309,575.45016,1189.8134188439,2.08699999999999
1281,3271.867,1756.84907331912,2.08699999999999
1595,2910.43276,1659.41584981592,2.08699999999999
1862,1867.86129333333,1318.70673494269,2.08699999999999
