costF,latencyF,dist,time
1864,1646.98616,1243.69001475765,2.07300000000009
1632,2246.3646,1388.30633472346,2.07300000000009
1936,1508.41838,1227.13304180128,2.07300000000009
1710,1812.53277333333,1245.93088235337,2.07300000000009
1992,1519.41736,1252.66646736765,2.07300000000009
1910,1662.58829333333,1266.12596461895,2.07300000000009
1227,3677.1174,1938.21576284626,2.07300000000009
2089,788.02908,1116.34569365023,2.07300000000009
1771,1914.19729333333,1303.89726184664,2.07300000000009
1664,1958.41281333333,1284.93937088761,2.07300000000009
1891,1587.8518,1234.62082628263,2.07300000000009
1449,2834.466,1591.68138340844,2.07300000000009
940,4621.16876,2357.90164703704,2.07300000000009
2203,872.570633333333,1184.75614686691,2.07300000000009
2236,448.001653333333,1140.21943955861,2.07300000000009
658,4222.9862,2136.97077924515,2.07300000000009
