costF,latencyF,dist,time
2057,1623.79644,1310.34002062028,2.13000000000011
1002,3608.49153333333,1872.51269329065,2.13000000000011
2156,998.98104,1188.09712547833,2.13000000000011
1545,2798.54876,1598.35072513025,2.13000000000011
845,4113.21926666667,2099.5593427954,2.13000000000011
2039,1631.29756,1305.62750519261,2.13000000000011
1295,3359.8014,1800.3673546975,2.13000000000011
1154,3318.591,1756.75569056151,2.13000000000011
1890,1931.94049333333,1351.34137709361,2.13000000000011
1991,1169.55869333333,1154.55062006302,2.13000000000011
1835,1655.05436,1235.55958320056,2.13000000000011
1661,2327.65996,1429.7658802569,2.13000000000011
1663,2017.6132,1307.31901470282,2.13000000000011
1830,2113.11222666667,1397.68945786324,2.13000000000011
1574,2829.0618,1618.72377725627,2.13000000000011
1543,2793.62876,1595.71384094229,2.13000000000011
1343,2974.62393333333,1631.87289216712,2.13000000000011
2448,414.1204,1241.39031993328,2.13000000000011
1188,3459.0582,1828.68994303212,2.13000000000011
944,4007.06006666667,2058.37717497758,2.13000000000011
1494,3034.00769333333,1690.94934010498,2.13000000000011
