costF,latencyF,dist,time
1522,2236.23676,1352.51976388289,2.13300000000004
1861,1572.0566,1218.06023594931,2.13300000000004
1919,1118.096,1110.48409097294,2.13300000000004
1286,3004.0414,1633.86510557894,2.13300000000004
1824,1655.32778333333,1231.57278208347,2.13300000000004
1820,1795.59256,1278.33413487313,2.13300000000004
1937,1745.79836,1303.81947693869,2.13300000000004
1987,1128.309,1142.50275705149,2.13300000000004
1070,3322.9289,1745.47675968883,2.13300000000004
1570,2475.88872,1465.85512191888,2.13300000000004
1089,3548.9164,1856.12018833567,2.13300000000004
1796,2012.66636,1348.74403396972,2.13300000000004
1479,2590.11826,1491.32102519758,2.13300000000004
1302,2714.3596,1505.23686160286,2.13300000000004
1749,1767.05192,1243.12846158147,2.13300000000004
1500,2345.56962666667,1392.09346610969,2.13300000000004
1896,1194.0219,1120.3240934747,2.13300000000004
2299,663.43432,1196.40566875891,2.13300000000004
2259,870.752493333333,1210.50515329822,2.13300000000004
2455,603.121253333333,1263.99962877985,2.13300000000004
900,4242.8622,2168.63318983345,2.13300000000004
2161,989.318026666667,1188.34666216214,2.13300000000004
2135,1190.18952,1222.16775582547,2.13300000000004
680,4287.4453,2170.51763414238,2.13300000000004
2183,864.24428,1173.92580424752,2.13300000000004
952,4093.3198,2101.28359491717,2.13300000000004
2215,754.005943333333,1169.90918051167,2.13300000000004
830,4073.67743333333,2078.68635385724,2.13300000000004
2232,865.54872,1196.97520720916,2.13300000000004
1295,3460.3434,1847.36308328409,2.13300000000004
