costF,latencyF
0.358695652173913,0.174461942295335
0.916666666666667,0.0157108083662086
0.442028985507246,0.121094560612448
0.521739130434783,0.114721822810132
0.684782608695652,0.0163407785272539
0.322463768115942,0.213556531161118
0.173913043478261,0.42544405595375
0.213768115942029,0.354789989922537
0.971014492753623,0.00726303472242485
0.16304347826087,0.578192148292515
1,0
0.0507246376811594,0.764107279762281
0.144927536231884,0.581595856635184
0.257246376811594,0.306834230948835
0.547101449275362,0.0938427664926534
0.376811594202899,0.16893411124183
0.268115942028986,0.277232023386368
0.594202898550725,0.0590779352409791
0,1
