costF,latencyF
0,0.620884793203387
0.0148354195642095,0.0563598701278387
0.0366249420491423,0.0267475872424958
0.0407974038015763,0.0227924302317007
0.00185442744552619,0.31168871797049
0.00370885489105239,0.108407054927522
0.0106629578117756,0.0603150271386338
0.00602688919796013,0.0831074573703345
0.019471488178025,0.033567439896138
0.0454334724153917,0
0.0584144645340751,0.0657109115407906
0.0537783959202596,0.0454155931506513
0.00602688919796013,0.0831074573703345
0.0241075567918405,0.0538627582862774
0.048215113583681,0.0229265033507107
0.0366249420491423,0.0267475872424958
0.0463606861381548,0.0452815200316413
0.023643949930459,0.0818442372021621
0.0407974038015763,0.0227924302317007
0.0672229949003245,0.07297264684917
0.0241075567918405,0.0538627582862774
0.0500695410292072,0.0202953183901394
0.0292072322670376,0.0861106952361586
0.0305980528511822,0.0843878556568801
0.0454334724153917,0
0.0273528048215114,0.110736016732325
0.0509967547519703,0.0224890897999406
0.033843300880853,0.0633182650044579
0.0305980528511822,0.0843878556568801
0.0653685674547983,0.0240728285182462
0.023643949930459,0.0818442372021621
0.0528511821974965,0.0432218217408501
0.0598052851182197,0.0297508251083199
0.0440426518312471,0.0779355868045236
0.0366249420491423,0.0267475872424958
0.0366249420491423,0.0267475872424958
0.0250347705146036,0.0991442783179187
0.0556328233657858,0.0427844081900799
0.0472878998609179,0.0457696299805371
0.0505331478905888,0.0542420734854765
0.0449698655540102,0.031752983685536
0.0519239684747334,0.0229771997488364
0.0217895224849328,0.0791623558434652
0.0454334724153917,0.0430877486218401
0.0477515067222995,0.0546794870362467
0.023643949930459,0.0818442372021621
0.0250347705146036,0.0560565296960786
0.0403337969401947,0.0545454139172367
0.0477515067222995,0.0533253485342456
0.0537783959202596,0.0454155931506513
