costF,latencyF,dist,time
927,1103.75,720.692906601002,1.846
334,1632.3,833.060515508927,1.846
524,1505.26666666667,796.932201912085,1.846
796,1312.38677777778,767.459291181939,1.846
690,1411.30222222222,785.473418144972,1.846
520,1563.97666666667,824.078730140176,1.846
844,1170.24777777778,721.424954758606,1.846
603,1497.47888888889,807.16355571035,1.846
709,1398.56344444444,784.005852678459,1.846
844,1112.63444444444,698.264170454886,1.846
417,1604.83333333333,829.062577218659,1.846
840,1131.62494444444,704.658607924591,1.846
607,1477.8,798.802516270448,1.846
626,1465.06122222222,796.599081228957,1.846
607,1420.18666666667,772.233638249749,1.846
626,1407.44788888889,770.192436982114,1.846
