costF,latencyF,dist,time
5541,3718.05885269841,3336.41434147983,3.69000000000005
6143,3381.70009722222,3506.14975962069,3.69000000000005
6271,3374.27026634921,3560.5877615349,3.69000000000005
5970,3463.17418333333,3450.88667678709,3.69000000000005
6599,3000.09561666667,3624.47840071998,3.69000000000005
6148,4094.62394444444,3693.36734046377,3.69000000000005
6176,3618.21481833333,3578.91235124608,3.69000000000005
5387,6240.59415583333,4122.03785820258,3.69000000000005
6017,5718.18817833333,4150.36037720916,3.69000000000005
4980,6769.68874,4202.05561709037,3.69000000000005
6522,3048.97236309524,3599.74709080091,3.69000000000005
5138,6422.89786714286,4112.56188438996,3.69000000000005
4982,8399.79444380952,4883.05413389646,3.69000000000005
5806,5987.02719940476,4169.95595559511,3.69000000000005
7228,2451.56833206349,3816.22101321375,3.69000000000005
5202,8200.69298269841,4855.72263922887,3.69000000000005
5300,6654.47356,4253.58726138124,3.69000000000005
6670,3297.74843968254,3720.3509502273,3.69000000000005
5739,5898.18437809524,4114.75090248507,3.69000000000005
5813,5979.64230178571,4169.74492796937,3.69000000000005
7089,2680.61541857143,3789.446530243,3.69000000000005
