costF,latencyF,dist,time
6703,2615.04103083333,3597.52166751438,3.61699999999996
6374,3902.60922392857,3736.91834118343,3.61699999999996
5114,6752.25919166667,4235.15053426224,3.61699999999996
6976,2595.48565436508,3721.59649149444,3.61699999999996
4774,6754.50095666667,4135.64865449215,3.61699999999996
7338,2338.54143472222,3850.81225334061,3.61699999999996
6856,2989.86526492063,3739.78710297722,3.61699999999996
6925,2851.23560952381,3744.50161907485,3.61699999999996
5465,6243.41323396825,4148.6875578335,3.61699999999996
7008,2665.43943547619,3748.88754779973,3.61699999999996
6666,3256.32663178571,3709.42108464639,3.61699999999996
4843,8340.70001190476,4822.39374399758,3.61699999999996
4932,7662.58257738095,4556.30869660908,3.61699999999996
7159,2829.29409988095,3848.90198964657,3.61699999999996
6903,3061.17835119048,3775.65298649774,3.61699999999996
6069,5923.01971892857,4240.1333584811,3.61699999999996
6505,3620.44504444444,3722.31941535927,3.61699999999996
5546,6264.84815333333,4183.49251177542,3.61699999999996
6160,5782.14687579365,4224.29942396518,3.61699999999996
