costF,latencyF,dist,time
10560,12662.3402666667,8243.91383125831,6.25700000000006
12891,8395.91726441799,7692.03009144777,6.25700000000006
10551,12978.4340532468,8363.06390437253,6.25700000000006
14457,6436.88846181097,7912.62254359759,6.25700000000006
13490,10608.7442031073,8580.8734049478,6.25700000000006
9851,13706.1897720418,8439.51774491921,6.25700000000006
12219,11347.3430755219,8337.65788266697,6.25700000000006
11795,11475.7816260967,8228.23779630028,6.25700000000006
14049,7023.13120997151,7853.32370707581,6.25700000000006
15328,5540.58765265993,8149.32045536325,6.25700000000006
12421,11472.6697048581,8454.33899185455,6.25700000000006
11556,11511.7049345238,8155.68032875768,6.25700000000006
14563,6542.83030791246,7982.63110506395,6.25700000000006
13994,8034.35849310578,8068.19298845381,6.25700000000006
12380,11442.2507857816,8428.96053859431,6.25700000000006
14633,6558.27547560606,8017.72514828763,6.25700000000006
14679,6139.63764154845,7955.62994629462,6.25700000000006
9788,13335.2596266667,8270.94452451783,6.25700000000006
15027,6181.67276911256,8124.40470472126,6.25700000000006
