costF,latencyF,dist,time
10906,10521.6650988095,7577.04217441586,6.20000000000005
12832,8752.21332559163,7766.29677028672,6.20000000000005
12975,8231.98642487734,7683.03692395404,6.20000000000005
9595,13603.9792699735,8323.64518972712,6.20000000000005
13664,7424.46682317997,7775.40358451733,6.20000000000005
12575,9530.56058793651,7889.26818723271,6.20000000000005
12861,8998.18089897306,7848.13003986688,6.20000000000005
12072,10622.27541329,8039.99252107529,6.20000000000005
13459,7879.23446689977,7797.86856750582,6.20000000000005
12447,9747.4848231746,7904.76548320725,6.20000000000005
9779,13140.2782043651,8189.8680131018,6.20000000000005
13567,7700.04839326599,7799.90759975139,6.20000000000005
13570,7539.31097076923,7761.86366013281,6.20000000000005
11800,12038.0499781481,8428.44361783943,6.20000000000005
14299,7228.30771909091,8011.08347044689,6.20000000000005
13702,7530.69700097884,7817.54759052594,6.20000000000005
9950,13080.2865390212,8217.3048492632,6.20000000000005
