x
13.479
13.603
13.559
13.513
13.556
13.513
13.603
13.529
13.837
13.8
13.696
13.684
13.787
13.686
13.74
13.723
13.74
13.747
13.807
13.74
13.793
13.803
13.72
13.683
13.89
13.973
13.884
13.903
13.853
13.833
13.933
13.79
13.686
13.763
13.74
13.734
13.897
13.747
13.77
13.774
11.11
11.163
11.09
11.083
11.11
11.13
11.1
11.07
11.08
11.127
11.044
11.033
11.077
11.17
11.104
11.063
11.096
11.017
11.016
11.02
11.05
11.084
11.047
10.994
11.13
11.084
11.143
11.147
11.18
11.184
11.094
11.09
11.124
10.7
11.117
10.943
10.89
11.097
10.747
10.626
